token;freq
ɡla;4563
alja;1146
eso;1329
ɾei;11301
bli;23437
tjan;2978
fo;25368
ks;6159
eɾan;4337
ljas;1615
njan;2245
kuɾ;7864
sos;27425
eko;11950
saleɾs;2
bɾes;6896
mjem;5370
bɾos;5858
nu;35251
fɾen;5325
lwe;4288
ini;9031
ɡi;11695
ʝem;104
d;5921
aɾeni;2
plan;9193
lit;73
ton;14678
rano;380
kòn;1
sol;6375
ɡos;15195
ɾos;26408
kja;3861
sjo;22377
nis;31476
aɡos;6620
daɾ;8181
mes;10784
ɡiɾ;2254
fɾa;6030
lino;1571
ino;1274
bjeɾ;7334
obɾe;787
tɾwian;40
pas;11883
njen;4590
afi;1414
knt;81
fai;252
wel;783
otɾo;6754
ksjon;1534
ɾek;13580
djas;7761
oɾan;338
siu;21324
dano;567
sko;1122
ss;4714
ff;1154
ape;1622
anun;2039
kɾe;15154
ljo;13430
dɾja;3415
twaɾ;936
sian;3379
ɡwaɾ;2680
bil;5566
axen;1709
diɾ;3643
ɡien;7422
dis;44131
xwes;441
ʝon;1619
ɾea;20969
aiks;70
kan;43990
tɾono;644
xus;3498
nel;2023
bau;1709
laɾd;49
ale;18806
bik;5172
ade;12700
ʝi;5214
t͡ɬeɾ;1042
sil;7308
t͡ʃi;20303
tain;365
neu;4334
apɾo;7004
t͡ʃan;1504
eba;1798
djos;11763
ɡau;654
ebi;3681
ene;8451
òs;3
iɡ;1730
ul;10683
dum;953
ɾaɾ;10305
bwe;6381
pon;10786
kae;805
em;31228
nwel;3767
kɾon;147
kk;10769
stɾ;55
mau;1475
ksa;2346
pot;60
ɾjas;17250
seeɾ;291
pai;8608
exe;4660
ɡano;902
xis;8013
ɡwa;19264
miks;784
ele;11563
inau;2416
elek;14825
abɾil;6636
ab;4184
koa;1277
kap;2273
beɾn;125
t͡ʃas;7537
mui;11187
sjem;3345
lis;42969
apa;11030
psa;53
koɾ;17415
bai;3264
xios;1275
bu;21753
t͡ɬles;4
ot͡ʃo;1431
bwen;862
mjen;55565
ies;3458
pje;10476
iek;5969
lei;8631
eli;4169
ioɾ;12242
ake;3157
ʝas;8484
koo;452
u;2888
njas;1560
sani;776
salud;2236
psi;2463
fek;3379
tis;16864
ebo;3867
dan;12505
ase;7720
ɾao;156
dà;26
otɾa;5477
pli;10230
njos;1359
kse;637
anti;2734
fweɾ;10947
pjas;1838
njal;951
twi;2559
twiɾ;520
pjo;9702
om;5738
sanos;366
t͡ʃaɾ;3531
sali;2166
tà;114
tent;67
eneɾ;5897
ʝok;12
nent;43
pɾes;3428
ɡeɾs;6
lun;1470
ɾeas;1488
pel;3059
asu;3444
on;7577
seis;2507
uno;10688
ai;14391
subal;33
kooɾ;759
ɾeu;2381
niɾ;1913
ap;532
sek;5818
aɾea;3382
pis;2557
fu;34385
maɾk;250
tɾik;1412
ple;15474
neo;5809
bel;11659
sub;3695
ljan;946
ts;6189
beï;1
bɾo;9640
afeɾs;2
ɾjoɾs;3
pleno;452
onu;821
edu;4398
unes;554
unk;37
kpi;35
tau;3603
ik;390
kɾom;19
unjon;4956
wit;53
kɾus;2538
toɾ;59646
adwa;240
kka;147
pol;1474
akweɾ;4253
pea;3615
ɡal;3704
ita;11075
xeo;6625
fja;11122
sitwa;547
aɡwas;1621
aflwen;387
buɾ;4153
deos;650
ɡlo;9527
lje;2158
m;10520
s;17251
xion;7913
flu;2841
unen;421
abe;2340
kli;6991
dɾju;2
ɾoɾ;148
osea;1382
fɾjas;224
swa;2544
lea;1740
anwa;595
abun;1328
oto;1180
nje;6400
ɾak;11995
ʝu;1381
bjas;1893
bek;1798
swe;11714
len;25750
at͡ɬanti;1145
kanti;4048
ɲas;4100
pla;22780
fɾjo;1164
leo;5711
soi;846
l;4544
tani;37
pano;579
