token;freq
vʀaʒ;2667
eti;1319
by;27193
lɛʀ;23809
tʀo;22030
dyk;16023
tiv;17449
ʃɛt;512
apəʀ;380
ɡʀɛkk;1331
əi;1658
dɛl;4932
bɛʀɡ;2300
nyl;3687
ele;5623
ke;15085
pek;6
ljɑ̃;491
mɔʒ;628
lɑ̃;31464
kas;12394
ʀak;8068
tə̀ʀ;7273
nik;29718
ʀɛv;55
tɔm;913
ji;4183
ʀy;13268
dœ;25108
ʀeyni;1630
ʃɛ;7295
mə̀tʀ;3515
ɡʀɛk;3050
tʀə;16606
dʀie;1
tɔd;2689
tɛ;7313
ɲɑ̃də;1
fɔʀsk;1
nɛ̃ɡ;839
pʀ;285
dik;8530
ʒik;12957
tin;5820
lab;546
fʀɛ;1898
oɡ;3703
ʒakk;6203
klɛ̃kk;33
sjɛkk;39
blje;3986
sis;23980
ɡɑ̃;4400
nɔt;6811
ʀɑ̃səs;7170
vwaʀ;19381
bi;42035
bljo;4286
maʀk;5337
sjɛ̃s;5440
t;2163
vɛ̃;15454
ʒɔ̃;726
pʀɛs;3015
ʀel;1464
tikl;5904
kɔnəɡz;2956
fʀɑ̃z;373
bɔp;16
ɑn;971
zœs;260
tɛʀn;5808
sla;803
vist;621
lje;6243
kyʀd;183
nal;39897
pea;17
mɑ̃bʀə;3550
afʀi;2662
dœʀ;2257
ʒjɔ̃;14825
nœʀ;7245
sɛ;35988
tɑ̃bʀə;6728
ɑ̃s;9592
y;14649
edi;10612
ʒə̀bʀ;265
neɛʀ;749
bʀɑ̃ʃə;718
ʀɛs;2741
paz;4025
vɛk;936
ʀjɛl;3316
teo;9007
ʀjəs;5388
tə̀m;11632
eka;2008
ini;3451
sip;3868
pɛʀs;924
kwa;3809
pi;34265
djɛ̃;9481
ple;4440
kɔ̃ti;5771
ny;26732
sjə̀kl;4381
ʀɑ̃t;12786
ɛl;33819
pʀiz;9788
kaʀt;2223
pɔz;7257
blə̀m;3019
ʒeo;5791
tʀi;23214
kɔm;36645
sɛk;5049
dʀwat;2846
tɛʀm;5637
eta;33761
blis;2804
pɔ̃;16004
ɑ̃tʀə;27599
bʀɑ̃ʃəs;399
nə;62502
baz;5322
yti;17792
liz;5977
ʀɛl;10641
pɛk;5852
mø;556
ɔk;21504
sjɛl;19651
ide;2870
tʀik;5005
sɑ̃təs;1856
apʀə̀;19701
vɛʀt;4273
ɡʀɛ;1165
vɔ̃;3243
pɔ̃k;393
tɥɛl;5561
ana;5121
ljsə;2190
pʀje;3571
nɑ̃ts;1196
alɑ̃;969
n;23463
kaʀl;1592
fʀi;2009
dʀiʃ;682
ɡos;103
tʀuv;5677
mij;6408
dɑ̃;18825
fism;618
wijjɑ̃;2670
wɑ̃;1286
tɔ̃;19510
kuvʀ;1361
ɡʀe;8046
kɔʀ;30013
ʀeɛl;948
mɑn;2138
ɡʀas;742
nəal;72
nœ̃ɡ;28
sləʀ;38
œvʀ;6254
ʀɛst;5217
kɔ̃sjɛ̃;1284
etap;1017
pə;33929
tɑ̃t;27783
ʒjy;707
sɛp;2931
pəa;122
aksjo;98
tiz;2678
sjɛ;1249
vjɛnɑ̃;2304
pʀɛsk;1677
mɛn;10627
fɔ̃k;9152
fɔʀm;13619
plys;61235
sɛ̃pl;2331
pli;10581
sɑ̃tɑ̃t;1628
tɥi;1037
pla;14061
plɑ̃;5337
nɔtʀ;2276
ʀɑ̃;29749
plasɑ̃;296
mɛ̃;17532
tə;61054
nɑ̃t;13899
kɔ̃stʀɥit;1026
klid;169
kɔ̃stʀyk;3667
kɔ̃k;371
sudʀ;458
sɑ̃blə;7777
dit;4182
nɔ̃;48080
sœl;10402
bʀœz;4624
otʀ;25842
sjal;12451
fɔʀmɑ̃;1248
til;4573
njœʀ;1683
sɛʀvɑ̃;598
bʀœ;6389
ɔpe;5766
nɛl;19011
fɛ̃;18184
nəo;906
dif;16813
mɑ̃sə;3424
