token;freq
ʳ;23
‡;4
⁠;7
化;3
ɫ;2
太;2
人;12
ک;6
ی;9
ƒ;4
⊆;4
ध;1
म;16
☸;1
ℓ;4
㎕;1
㎖;1
㎗;1
㎘;1
է;1
ր;2
ե;1
բ;1
ո;1
ւ;1
ն;1
ի;3
囚;1
林;1
月;3
🇷;1
🇺;1
„;6
儒;1
家;2
孝;1
仁;2
禮;1
礼;1
天;10
回;1
∗;2
ׂ;8
ֲ;5
ֻ;1
ֱ;2
ֹ;13
ף;2
פ;9
市;1
ɘ;1
l̥;3
tʰ;1
ɒ;4
ɹʷ;1
ㅤ;1
∪;3
∅;1
ℤ;4
ɐ;8
lʲ;1
ɡʲ;1
nʲ;1
bʲ;1
恐;1
龍;1
ᄌ;19
ᅩ;38
ᄀ;35
ᅮ;31
ᆨ;21
ᅵ;24
ᄆ;15
ℕ;2
e̝;1
o̝;1
a̝;1
ˌ;8
♂;1
￼;8
ー;27
ル;18
●;9
∇;2
ˉ;1
ˊ;1
ˇ;2
ˋ;1
吗;1
嗎;1
↦;1
ख;1
ड;1
ᄃ;18
ᆺ;2
ⴰ;3
ⵎ;1
ⵓ;2
ⵏ;1
ⵡ;1
ⴽ;1
ⵛ;1
⅓;1
漫;3
コ;9
ミ;3
ッ;17
ク;6
ඞ;1
ʐ;4
;1
ს;4
ა;3
ქ;1
რ;3
თ;2
ვ;1
ე;2
ლ;1
ო;1
უ;1
პ;1
ი;1
қ;13
ℍ;1
期;10
一;11
五;1
六;3
日;26
曜;17
火;3
水;6
土;3
भ;4
इ;1
द;2
ौ;2
य;5
ू;1
ृ;3
थ;3
🇨;1
🇳;1
京;10
都;3
賞;1
葉;2
問;1
̱;24
ʝː;2
ɝ;3
ɑː;4
ɹ;10
ɚ;6
;21
;10
ܒ;1
ܓ;1
ܕ;2
᾽;4
w̃;4
ﻋ;1
ﺮ;1
֣;3
《;4
》;5
德;1
經;1
老;1
子;6
慈;1
儉;1
不;1
敢;1
為;1
下;1
♯;1
ᅣ;1
ᆷ;4
♇;1
⯓;1
冥;1
🜨;1
₄;1
ℚ;1
‐;7
پ;2
ɢ;2
̩;1
lː;3
ٰ;2
ُ;8
ٱ;1
э;38
跆;2
拳;2
ᄐ;3
ᅯ;5
ᄎ;4
ᄂ;3
弹;1
腿;1
ᅨ;1
ᆸ;2
ᅲ;2
ᄏ;2
ᅫ;1
ᄑ;2
ⁿ;2
着;1
物;4
東;6
婦;1
供;1
服;1
組;1
合;4
本;3
語;3
文;6
部;2
科;1
学;3
省;2
漢;4
字;8
ひ;12
ら;9
か;14
な;15
カ;12
タ;13
倭;1
言;1
音;3
読;4
み;13
訓;3
敬;1
式;3
阪;1
ɸ;5
ɯ;10
t͡ɕ;2
d͡ʑ;4
ʑ;2
͡;2
ɴ;2
ɺ̠;1
国;3
々;2
お;14
こ;10
我;4
濁;6
り;13
「;2
に;7
」;2
匹;1
台;3
い;27
形;1
容;1
詞;2
く;11
し;10
ゃ;4
あ;9
ま;11
せ;7
ん;37
て;13
は;15
暑;1
す;10
き;11
ょ;1
う;11
つ;4
さ;10
え;6
れ;2
と;12
の;31
そ;3
ほ;9
た;9
よ;5
犬;3
ぬ;2
ケ;4
ン;30
平;4
安;1
時;2
代;2
～;1
け;3
ふ;1
買;1
袋;1
瑠;1
偉;1
和;4
西;2
・;5
辞;1
த;2
ம;2
ி;2
ழ;2
்;2
ந;1
ா;1
ட;1
ு;1
上;5
自;2
来;4
（;3
龙;2
卷;2
风;1
为;2
,;2
『;1
田;2
吾;1
作;2
杢;1
兵;1
衛;1
見;3
』;1
黒;2
獅;1
士;1
ハ;16
レ;2
チ;7
園;1
マ;9
シ;12
種;1
姫;3
ĳ;7
ǀ;4
■;5
ホ;9
ǂ;1
川;3
端;1
康;1
感;1
覚;1
派;1
⇄;12
i̯;1
e̯;6
o̯;5
ɥ;4
e̞;1
ɶ̃;1
ɶ;2
ܟ;1
ܘ;1
ܚ;1
ܠ;1
ܐ;1
𒎎;1
𒋆;1
𒁉;1
𒍣;1
𒁕;1
้;1
ำ;1
ป;1
ล;1
魚;2
露;1
芥;1
兰;1
∙;2
↓;2
ظ;6
dˤ;1
ラ;11
ʱ;2
ʌ;2
₹;1
∆;3
₱;3
є;1
ө;3
ү;63
ұ;2
ә;1
ғ;1
⁰;1
দ;1
়;2
麻;1
裏;2
蘆;1
沙;1
胡;1
重;2
啞;1
杜;1
陵;2
ो;1
ट;4
अ;2
中;3
灣;2
;1
∼;2
प;3
݃;1
⹎;1
឴;2
ह;4
ल;9
आ;1
ཧ;1
ི;1
་;7
མ;1
ལ;2
ཡ;1
ག;1
ང;2
ས;2
ཅ;1
ན;1
ྗ;1
ོ;1
ہ;4
হ;1
ি;1
ম;2
প;1
ব;1
ত;1
喜;4
马;1
拉;2
雅;2
山;3
脉;2
馬;1
ᵊ;1
ᵻ;2
t͡ɕʰ;1
珠;2
穆;2
朗;3
玛;1
峰;4
瑪;1
聖;1
母;3
圣;1
当;1
風;5
呂;1
世;4
話;1
助;1
体;1
者;3
社;1
車;1
功;1
製;1
鋼;1
性;1
交;1
独;2
仏;1
英;1
ʍ;1
ɬ;1
ƛ;1
𐤔;1
𐤕;2
♩;2
𐤇;1
𐤍;1
𐤁;2
𐤋;1
𐤒;1
松;5
尾;4
芭;5
蕉;5
俳;3
諧;1
連;1
歌;2
藤;2
堂;1
良;2
忠;1
号;1
宗;2
房;2
寿;2
贞;1
貝;1
桃;1
青;1
门;1
弟;1
吟;1
仙;1
虚;1
野;2
行;1
河;1
曾;1
奥;1
細;1
義;1
仲;1
寺;1
季;1
语;1
⁸;1
冈;1
村;1
健;2
貞;1
尼;1
句;1
会;2
际;1
振;1
兴;1
赤;3
亜;1
ａ;1
ｉ;1
止;1
っ;14
ｍ;1
ｙ;1
フ;12
魔;2
法;1
ネ;2
キ;2
！;1
夏;1
ム;3
₧;1
ɡ̃;15
ʋ;2
ɟ͡ʝ;3
ɰ;2
ɰ̃;2
ʷ;2
ɰʷ;1
pʰ;5
ˤ;2
ⲡ;2
̅;2
ꜥ;5
ʕ;6
硫;1
黄;1
ɱ;2
ſ;6
;1
北;8
斎;2
富;1
嶽;1
景;1
神;2
奈;1
沖;1
浪;1
凱;1
快;1
晴;1
役;1
絵;1
勝;1
春;1
や;4
辉;1
夜;2
宮;1
崎;1
駿;1
未;1
少;2
名;1
探;1
偵;1
楽;1
ア;6
ち;7
女;5
ね;3
千;3
里;1
毛;3
丸;1
忍;1
₮;1
リ;6
オ;4
ト;18
ロ;3
谷;1
ュ;3
宅;1
急;1
便;1
紅;1
豚;1
も;3
尋;1
隠;1
動;1
崖;1
ニ;1
ョ;4
立;3
陽;1
冒;1
険;1
長;1
靴;1
猫;2
ろ;2
狸;1
耳;1
恩;1
返;1
借;1
エ;2
ィ;14
坂;1
₣;2
吉;1
叶;1
墨;1
：;3
潮;1
姑;1
娘;1
庆;1
谈;1
判;1
泽;1
东;1
斯;1
诺;1
七;1
夕;1
牛;1
郎;1
織;2
ϲ;1
˙;1
ᵒ;1
ˢ;2
ᵃ;1
樗;2
蒲;2
△;1
♭;1
♮;1
ᅬ;1
會;1
ᅭ;3
ᄅ;4
韓;7
理;1
ɾ̩;1
῾;2
ʝ̞;2
ǃ;1
ɡʰ;1
ं;5
̬;1
dː;1
ɡʷʰ;2
щ;2
¶;1
奉;1
历;1
史;1
博;1
馆;1
虎;1
长;1
ी;2
ಪ;1
ು;1
ರ;2
ಂ;1
ದ;2
ಾ;1
ಸ;1
め;3
碰;1
吃;1
槓;1
杠;1
直;2
糊;3
元;2
色;3
幺;1
蓮;1
宝;1
燈;1
暗;1
刻;2
對;2
混;1
清;1
小;2
゛;2
点;4
゜;2
半;2
ゅ;1
∂;6
令;1
ゆ;1
煙;1
念;1
ぇ;2
ェ;11
外;1
観;2
診;2
看;2
視;2
ብ;1
ራ;1
ና;1
₪;1
બ;1
ા;1
પ;1
ુ;1
ɦ;3
n̪;3
d̪;3
ʨ;1
南;3
燕;1
剧;1
院;1
地;1
铁;1
ﬀ;1
ﬂ;1
ﬃ;1
ﬄ;1
ﬅ;1
ⅎ;1
⒡;1
ⓕ;2
u̯;1
ŧ;1
ƿ;1
ȷ;1
▸;1
ⴷ;1
ⵣ;1
ⵢ;1
ⴻ;1
ပ;1
ြ;2
ည;1
်;5
ထ;1
ေ;2
ာ;3
င;3
စ;1
ု;2
သ;1
မ;4
္;1
တ;2
န;2
ိ;1
ံ;1
怒;1
♁;3
ɜ;1
ャ;2
ぁ;1
ぃ;1
ぅ;1
ぉ;1
ヰ;1
ヱ;1
ワ;2
ヘ;4
モ;2
ァ;4
ゥ;4
セ;1
ォ;6
メ;2
、;2
｜;4
船;1
术;1
ң;1
特;1
工;1
组;1
変;1
態;2
腐;1
∫;1
麗;1
夷;1
靑;1
丘;1
鲜;1
ᅴ;1
民;1
朝;2
鮮;2
恨;1
ર;1
精;4
滴;2
血;1
液;1
≘;1
わ;2
福;1
叉;1
境;1
界;1
鏡;1
來;1
了;1
ـ;1
✝;6
百;1
首;1
斤;1
两;1
℥;1
‟;2
կ;2
ա;1
ว;1
ั;1
อ;1
ท;1
ต;1
ย;1
์;1
љ;1
ሰ;1
ኞ;1
‌;1
،;1
؛;1
؟;1
ٌ;3
ً;3
ڥ;1
ﻒ;1
ٍ;1
